publisher_domain,publisher_category,ssp_domain,seller_id,relationship,verified_legal_entity
cnn.com,News & Media,yieldmo.com,2140675095243950036,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,indexexchange.com,183753,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,156512,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,156565,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,behave.com,1092,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,156599,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,158801,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotxchange.com,219004,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotx.tv,219004,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,tremorhub.com,eq97f-x7x7v,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotxchange.com,184125,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotx.tv,184125,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,media.net,8CUIG2452,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,media.net,8CUS8896N,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,rubiconproject.com,18426,DIRECT,Google
cnn.com,News & Media,outbrain.com,006c1fd20328a00c44f29602235a735bfd,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,tremorhub.com,q017o-78mlk,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotxchange.com,225721,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,rubiconproject.com,17130,RESELLER,Vidazoo LTD.
cnn.com,News & Media,lkqd.net,450,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotx.tv,238936,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotxchange.com,238936,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,liveintent.com,47905,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,freewheel.tv,48804,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,triplelift.com,876,DIRECT,Not Tracked (Non-Top 3 SSP)
