publisher_domain,ssp_domain,seller_id,relationship,verified_legal_entity
moneycontrol.com,mediago.io,045ac24b888bcf59a09731e7f0f2084f,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,adyoulike.com,7463c359225e043c111036d7a29affa5,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,minutemedia.com,01gya4708ddm,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,visiblemeasures.com,1052,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,undertone.com,4205,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,imds.tv,AM1601,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,kargo.com,8824,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,start.io,123111883,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,connectad.io,455,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,onlinemediasolutions.com,21020,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,supply.colossusssp.com,836,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,opera.com,pub12058951686464,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,richaudience.com,MMuGgvZcVd,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,uis.mobfox.com,93308,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,biddigi.com,ADG107,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,prosegments.com,PSADG107,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,programmaticians.com,PGADG107,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,thebrave.io,1234794,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,jambojar.com,2023063,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,ads-mesh.com,adm-2023063,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-5348345762832984,DIRECT,Unlisted / Unknown ID
moneycontrol.com,google.com,pub-9084396328078500,DIRECT,Unlisted / Unknown ID
moneycontrol.com,google.com,pub-6914523826711866,DIRECT,Unlisted / Unknown ID
moneycontrol.com,google.com,pub-7119804600138686,DIRECT,Unlisted / Unknown ID
moneycontrol.com,aps.amazon.com,18b90968-2ad9-4ff5-a24f-1fe4156e21dd,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,inmobi.com,1386c3283cdf43c687c7e433c94b4eaa,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-9119026932363247,DIRECT,Confidential
moneycontrol.com,google.com,pub-1615310408372741,DIRECT,Confidential
moneycontrol.com,pubmatic.com,159941,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,166238,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,openx.com,562388597,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,consumable.com,2001514,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,152media.info,152M977,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,152media.info,152M1051,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,appnexus.com,11924,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,smilewanted.com,3784,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,158810,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,appnexus.com,10040,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,smartadserver.com,2491,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,19814,RESELLER,SMILE WANTED GROUP
moneycontrol.com,kargo.com,9011,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,11864,RESELLER,"Kargo Global, Inc."
moneycontrol.com,appnexus.com,8173,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,contextweb.com,562001,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,video.unrulymedia.com,1858504412,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,smartadserver.com,4164,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,nobid.io,198136,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,zetaglobal.net,693,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,video.unrulymedia.com,347774562,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,sharethrough.com,aRE1degH,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,amxrtb.com,105199579,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,lijit.com,273657,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,24434,RESELLER,Fuze LLC
moneycontrol.com,onetag.com,694e68b73971b58,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,media.net,8CUV34PJ4,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,inmobi.com,8f261ace12c3486ba2e0d2011cd97976,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,162412,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,admatic.de,ade-pub-1189857022,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,appnexus.com,11673,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,kueez.com,4f2805b3399db66bebab78814b83b2a2,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,27026,RESELLER,ADMATIC GMBH
moneycontrol.com,amxrtb.com,105199787,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rtbhouse.com,f2PMUrbTLheS4d67McTq,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,richaudience.com,kBjBHJPcXM,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,onetag.com,8e4c756bde8b2d3,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,openx.com,541163168,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,ogury.com,6daed14b-1822-4904-8e4c-a21d4be0b210,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,adform.com,3240,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,criteo.com,B-064389,RESELLER,Unlisted / Unknown ID
moneycontrol.com,themediagrid.com,BIH5U6,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-4845187769363087,DIRECT,Confidential
moneycontrol.com,smilewanted.com,5872,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,openx.com,557083110,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,sharethrough.com,TZ1ahFV8,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,24482,RESELLER,Jambo Jar Pte Ltd
moneycontrol.com,adgrid.io,31966,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,22544,RESELLER,Black Enterprise
moneycontrol.com,pubmatic.com,165750,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,undertone.com,4261,RESELLER,Not Tracked (Non-Top 3 SSP)
